rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
17667,西欧,Alistipes_putredinis; Butyrivibrio_crossotus; Ruminococcus_lactaris; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.138,0.214,0.71,0.4998
17668,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,3,0.106,0.21,0.8,0.4998
17669,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Victivallis_vadensis,5,propionate+mucin,2,4,0.131,0.165,0.88,0.4998
17670,西欧,Bifidobacterium_longum; Alistipes_indistinctus; Ruminococcus_lactaris; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.143,0.202,0.81,0.4998
17671,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Butyrivibrio_crossotus; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,3,0.098,0.234,0.838,0.4998
17672,西欧,Alistipes_putredinis; Parabacteroides_goldsteinii; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate,2,2,0.147,0.222,0.8,0.4998
17673,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Eubacterium_eligens; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.189,0.253,0.85,0.4997
17674,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Odoribacter_splanchnicus; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.162,0.142,0.8,0.4997
17675,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Alistipes_indistinctus; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.137,0.197,0.8,0.4997
17676,西欧,Bacteroides_salyersiae; Alistipes_putredinis; Turicibacter_sanguinis; Fretibacterium_fastidiosum,4,propionate+mucin,2,2,0.158,0.161,0.762,0.4997
17677,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Fretibacterium_fastidiosum,3,propionate+mucin,2,2,0.119,0.147,0.8,0.4997
17678,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.125,0.201,0.77,0.4997
17679,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.157,0.21,0.83,0.4996
17680,西欧,Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Eubacterium_eligens; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.173,0.179,0.77,0.4996
17681,西欧,Bifidobacterium_longum; Bacteroides_dorei; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0,0.128,0.19,0.79,0.4996
17682,西欧,Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Turicibacter_sanguinis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.088,0.206,0.8,0.4996
17683,西欧,Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.134,0.233,0.787,0.4996
17684,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Alistipes_putredinis; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.152,0.187,0.8,0.4995
17685,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Victivallis_vadensis,3,propionate+mucin,2,2,0.152,0.169,0.85,0.4995
17686,西欧,Bacteroides_dorei; Eubacterium_eligens; Eubacterium_siraeum; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.203,0.264,0.79,0.4994
17687,西欧,Bacteroides_dorei; Eubacterium_siraeum; Ruminococcus_lactaris; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.179,0.253,0.775,0.4994
17688,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Alistipes_indistinctus; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.141,0.2,0.84,0.4994
17689,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Eubacterium_eligens; Fretibacterium_fastidiosum,4,propionate+mucin,2,0,0.146,0.238,0.85,0.4994
17690,西欧,Parabacteroides_goldsteinii; Eubacterium_eligens; Ruminococcus_lactaris,3,propionate+mucin,2,1,0.169,0.232,0.8,0.4994
17691,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.1,0.237,0.82,0.4994
17692,西欧,Bacteroides_intestinalis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,3,0.11,0.142,0.78,0.4994
17693,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Eubacterium_eligens; Fretibacterium_fastidiosum,4,propionate+mucin,2,1,0.131,0.195,0.838,0.4993
17694,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Fretibacterium_fastidiosum,3,propionate+mucin,2,0,0.165,0.157,0.8,0.4993
17695,西欧,Bacteroides_intestinalis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,4,propionate+butyrate+mucin,3,2,0.089,0.15,0.812,0.4993
17696,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.088,0.203,0.81,0.4993
17697,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_cellulosilyticus; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,2,0.166,0.242,0.87,0.4993
17698,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.101,0.179,0.89,0.4993
17699,西欧,Bifidobacterium_longum; Alistipes_indistinctus; Eubacterium_siraeum; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,3,0.183,0.216,0.78,0.4992
17700,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Fretibacterium_fastidiosum,4,propionate+mucin,2,0,0.118,0.229,0.875,0.4992
17701,西欧,Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Eubacterium_eligens; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.149,0.177,0.77,0.4992
17702,西欧,Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,3,0.122,0.221,0.8,0.4992
17703,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.126,0.171,0.79,0.4991
17704,西欧,Bacteroides_dorei; Alistipes_putredinis; Ruminococcus_lactaris; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.167,0.197,0.74,0.4991
17705,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Ruminococcus_lactaris; Turicibacter_sanguinis,4,propionate+mucin,2,1,0.187,0.21,0.762,0.4991
17706,西欧,Bacteroides_dorei; Alistipes_indistinctus; Ruminococcus_lactaris; Fretibacterium_fastidiosum,4,propionate+mucin,2,1,0.14,0.196,0.762,0.499
17707,西欧,Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Fretibacterium_fastidiosum,4,propionate+butyrate,2,0,0.205,0.173,0.762,0.499
17708,西欧,Parabacteroides_goldsteinii; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,4,propionate+mucin,2,3,0.14,0.216,0.8,0.499
17709,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,4,propionate+mucin,2,2,0.102,0.19,0.862,0.499
17710,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Turicibacter_sanguinis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.128,0.224,0.84,0.499
17711,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Barnesiella_intestinihominis; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.153,0.185,0.8,0.499
17712,西欧,Alistipes_indistinctus; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+butyrate,2,5,0.143,0.229,0.8,0.4989
17713,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.094,0.157,0.84,0.4989
17714,西欧,Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Victivallis_vadensis,4,propionate+butyrate+mucin,3,2,0.142,0.17,0.737,0.4989
17715,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Turicibacter_sanguinis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.116,0.19,0.83,0.4989
17716,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Eubacterium_siraeum; Fretibacterium_fastidiosum,4,propionate+mucin,2,2,0.147,0.21,0.85,0.4989
17717,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Victivallis_vadensis,5,propionate+mucin,2,2,0.16,0.173,0.85,0.4989
17718,西欧,Bifidobacterium_animalis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.105,0.223,0.83,0.4989
17719,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Eubacterium_eligens; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.177,0.229,0.85,0.4989
17720,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.139,0.153,0.79,0.4989
17721,西欧,Bifidobacterium_animalis; Eubacterium_eligens; Fretibacterium_fastidiosum; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.152,0.221,0.862,0.4988
17722,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Eubacterium_siraeum; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.171,0.229,0.88,0.4988
17723,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate,2,2,0.157,0.24,0.86,0.4987
17724,西欧,Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii; Eubacterium_eligens; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.143,0.227,0.8,0.4987
17725,西欧,Bifidobacterium_animalis; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Victivallis_vadensis,5,propionate+butyrate,2,2,0.165,0.156,0.81,0.4987
17726,西欧,Bifidobacterium_longum; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.136,0.173,0.78,0.4987
17727,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate,2,3,0.149,0.187,0.82,0.4987
17728,西欧,Bacteroides_salyersiae; Eubacterium_siraeum; Turicibacter_sanguinis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.15,0.208,0.82,0.4987
17729,西欧,Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_eligens; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+mucin,2,4,0.169,0.231,0.84,0.4987
17730,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_salyersiae; Alistipes_indistinctus; Parabacteroides_goldsteinii,5,propionate+mucin,2,3,0.116,0.183,0.91,0.4987
17731,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,4,0.141,0.192,0.86,0.4987
17732,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_salyersiae; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,3,0.117,0.206,0.86,0.4986
17733,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Bacteroides_salyersiae; Victivallis_vadensis,4,propionate+mucin,2,3,0.145,0.176,0.875,0.4986
17734,西欧,Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.135,0.205,0.76,0.4986
17735,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,3,0.135,0.228,0.86,0.4986
17736,西欧,Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,3,propionate+butyrate+mucin,3,1,0.125,0.191,0.767,0.4986
17737,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.121,0.22,0.82,0.4986
17738,西欧,Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_siraeum; Turicibacter_sanguinis,4,propionate+mucin,2,4,0.137,0.213,0.838,0.4986
17739,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_intestinalis; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.111,0.241,0.86,0.4986
17740,西欧,Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.143,0.197,0.73,0.4985
17741,西欧,Bacteroides_intestinalis; Alistipes_putredinis; Parabacteroides_goldsteinii; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.133,0.165,0.79,0.4984
17742,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Eubacterium_siraeum,5,propionate+butyrate,2,3,0.143,0.214,0.85,0.4984
17743,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Eubacterium_eligens; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,2,0.178,0.216,0.81,0.4984
17744,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Eubacterium_siraeum; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.156,0.239,0.81,0.4984
17745,西欧,Bifidobacterium_longum; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,4,propionate+butyrate+mucin,3,1,0.122,0.19,0.812,0.4984
17746,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Eubacterium_siraeum; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.167,0.237,0.81,0.4984
17747,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.143,0.228,0.86,0.4984
17748,西欧,Bifidobacterium_longum; Alistipes_indistinctus; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Eubacterium_siraeum,5,propionate+butyrate,2,4,0.127,0.244,0.86,0.4984
17749,西欧,Bacteroides_intestinalis; Eubacterium_eligens; Turicibacter_sanguinis; Victivallis_vadensis,4,propionate+mucin,2,3,0.19,0.197,0.775,0.4983
17750,西欧,Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,3,0.121,0.229,0.787,0.4983
17751,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Victivallis_vadensis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.138,0.176,0.84,0.4983
17752,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Eubacterium_siraeum; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,4,0.155,0.203,0.8,0.4983
17753,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_intestinalis; Bacteroides_salyersiae; Eubacterium_eligens,5,propionate+mucin,2,2,0.159,0.217,0.93,0.4983
17754,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum,5,propionate+butyrate,2,2,0.165,0.265,0.87,0.4983
17755,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Bacteroides_intestinalis; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,2,0.156,0.209,0.83,0.4983
17756,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_salyersiae; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,2,0.098,0.23,0.912,0.4983
17757,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Eubacterium_eligens; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,0,0.185,0.209,0.78,0.4983
17758,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Turicibacter_sanguinis; Victivallis_vadensis,4,propionate+mucin,2,3,0.163,0.189,0.8,0.4982
17759,西欧,Parabacteroides_goldsteinii; Eubacterium_eligens; Ruminococcus_lactaris; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.148,0.214,0.81,0.4982
17760,西欧,Alistipes_putredinis; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.175,0.181,0.73,0.4982
17761,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,4,0.142,0.178,0.82,0.4982
17762,西欧,Barnesiella_intestinihominis; Eubacterium_eligens; Turicibacter_sanguinis; Fretibacterium_fastidiosum,4,propionate+mucin,2,1,0.2,0.188,0.737,0.4982
17763,西欧,Bifidobacterium_longum; Alistipes_indistinctus; Eubacterium_eligens; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate,2,3,0.169,0.232,0.81,0.4982
17764,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Victivallis_vadensis,5,propionate+butyrate,2,2,0.186,0.202,0.8,0.4982
17765,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,4,propionate+mucin,2,3,0.097,0.155,0.825,0.4982
17766,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_intestinalis; Bacteroides_salyersiae,5,propionate+mucin,2,2,0.137,0.211,0.95,0.4982
17767,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.119,0.22,0.82,0.4981
17768,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.161,0.168,0.79,0.4981
17769,西欧,Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate,2,3,0.214,0.186,0.74,0.4981
17770,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.135,0.192,0.8,0.4981
17771,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Odoribacter_splanchnicus; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.191,0.222,0.84,0.4981
17772,西欧,Bacteroides_dorei; Alistipes_indistinctus; Parabacteroides_goldsteinii; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.123,0.157,0.79,0.498
17773,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.174,0.154,0.74,0.498
17774,西欧,Bifidobacterium_animalis; Eubacterium_siraeum; Turicibacter_sanguinis; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.172,0.224,0.82,0.4979
17775,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Alistipes_indistinctus; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.148,0.214,0.87,0.4979
17776,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.135,0.238,0.87,0.4979
17777,西欧,Bifidobacterium_longum; Bacteroides_dorei; Parabacteroides_goldsteinii; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.139,0.219,0.86,0.4979
17778,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Ruminococcus_lactaris; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.169,0.223,0.77,0.4979
17779,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate,2,3,0.159,0.235,0.8,0.4978
17780,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.123,0.204,0.86,0.4978
17781,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_dorei; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,1,0.132,0.202,0.85,0.4978
17782,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Alistipes_indistinctus; Parabacteroides_goldsteinii; Turicibacter_sanguinis,5,propionate+mucin,2,4,0.118,0.178,0.85,0.4978
17783,西欧,Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+butyrate,2,2,0.182,0.14,0.73,0.4978
17784,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_siraeum; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,4,0.158,0.176,0.78,0.4978
17785,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.118,0.201,0.8,0.4978
17786,西欧,Alistipes_indistinctus; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Victivallis_vadensis,4,propionate+mucin,2,3,0.15,0.176,0.75,0.4978
17787,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Eubacterium_eligens; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.17,0.217,0.85,0.4977
17788,西欧,Bifidobacterium_longum; Alistipes_putredinis; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.159,0.197,0.79,0.4977
17789,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Butyrivibrio_crossotus; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.113,0.236,0.8,0.4977
17790,西欧,Bifidobacterium_longum; Bacteroides_dorei; Eubacterium_eligens; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,2,0.182,0.207,0.81,0.4977
17791,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_dorei; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+mucin,2,1,0.182,0.26,0.91,0.4977
17792,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Eubacterium_siraeum; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,3,0.152,0.212,0.78,0.4977
17793,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Ruminococcus_lactaris,5,propionate+mucin,2,3,0.126,0.193,0.88,0.4977
17794,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Eubacterium_siraeum; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.185,0.182,0.78,0.4976
17795,西欧,Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_intestinalis; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.142,0.209,0.875,0.4976
17796,西欧,Bifidobacterium_longum; Bacteroides_dorei; Alistipes_indistinctus; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.107,0.173,0.85,0.4976
17797,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+butyrate,2,2,0.198,0.202,0.8,0.4976
17798,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Victivallis_vadensis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.14,0.178,0.81,0.4976
17799,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.158,0.17,0.8,0.4976
17800,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Eubacterium_eligens; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.166,0.192,0.81,0.4976
17801,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Odoribacter_splanchnicus; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.164,0.134,0.8,0.4976
17802,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.158,0.202,0.83,0.4975
17803,西欧,Bifidobacterium_longum; Bacteroides_dorei; Butyrivibrio_crossotus; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.108,0.196,0.8,0.4975
